date,repo,childSha,parentSha,childBranch,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,test_newHitLines,test_newNonHitLines,test_newFileHitLines,test_newFileNonHitLines,test_deletedLinesTested,test_deletedLinesNotTested,test_deletedFileLinesTested,test_deletedFileLinesNotTested,test_oldLinesNewlyTested,test_oldLinesNoLongerTested,test_modifiedLinesNewlyHit,test_modifiedLinesStillHit,test_modifiedLinesNotHit,test_nStatementsInBoth,test_nStatementsInEither,test_totalStatementsHitNow,test_totalStatementsHitPrev,test_totalStatementsNow,test_totalStatementsPrev,src_newHitLines,src_newNonHitLines,src_newFileHitLines,src_newFileNonHitLines,src_deletedLinesTested,src_deletedLinesNotTested,src_deletedFileLinesTested,src_deletedFileLinesNotTested,src_oldLinesNewlyTested,src_oldLinesNoLongerTested,src_modifiedLinesNewlyHit,src_modifiedLinesStillHit,src_modifiedLinesNotHit,src_nStatementsInBoth,src_nStatementsInEither,src_totalStatementsHitNow,src_totalStatementsHitPrev,src_totalStatementsNow,src_totalStatementsPrev
2017-05-11 17:26:26,square-retrofit,c5ba799c68387e79a6446351ecfe633c186d858b,9d621ff8c512d5e28cb760ad62edfa2d3fe40292,master,23,33,1,2,6,4,0,0,0,0,0,0,0,6346,6376,6370,6352,9350,9295,20,17,1,2,5,0,0,0,0,0,0,0,0,4741,4767,4762,4746,6495,6455,3,16,0,0,1,4,0,0,0,0,0,0,0,1605,1609,1608,1606,2855,2840
2016-09-17 22:18:43,square-retrofit,fb3a40c8078b5ad44f309a8ad9d1549aa175ea42,a2765946d54572f133606a932eddb53b015606e0,master,23,0,0,0,7,0,0,0,0,0,0,0,0,4565,4595,4588,4572,7199,7176,11,0,0,0,0,0,0,0,0,0,0,0,0,3273,3284,3284,3273,4784,4773,12,0,0,0,7,0,0,0,0,0,0,0,0,1292,1311,1304,1299,2415,2403
2016-06-26 05:51:41,square-retrofit,6a12880afc3fb8497578b4646e6e4f28571d267f,49a87b383473c4492d99a71897460078ffd350e9,master,3,0,0,0,8,1,0,0,0,0,0,0,0,4245,4256,4248,4253,6788,6786,2,0,0,0,0,0,0,0,0,0,0,0,0,2970,2972,2972,2970,4400,4398,1,0,0,0,8,1,0,0,0,0,0,0,0,1275,1284,1276,1283,2388,2388
2016-03-31 03:04:09,square-retrofit,011a89ee00e16d6e775b29fa4710718cc864baf8,2927160d513a731674ac3ad7b9ba10059f0d130f,master,0,0,0,0,0,0,0,0,0,0,0,0,0,4108,4108,4108,4108,6573,6573,0,0,0,0,0,0,0,0,0,0,0,0,0,2845,2845,2845,2845,4228,4228,0,0,0,0,0,0,0,0,0,0,0,0,0,1263,1263,1263,1263,2345,2345
2016-03-31 03:04:07,square-retrofit,2927160d513a731674ac3ad7b9ba10059f0d130f,ff43618a929fd14e006124c1a8b8be8d17005825,master,0,0,0,0,0,0,0,0,0,0,0,0,0,4108,4108,4108,4108,6573,6573,0,0,0,0,0,0,0,0,0,0,0,0,0,2845,2845,2845,2845,4228,4228,0,0,0,0,0,0,0,0,0,0,0,0,0,1263,1263,1263,1263,2345,2345
2016-08-21 14:54:14,square-retrofit,34eb99f46c9f8312563bbcf07345b4ed5354f6ca,e02fb37616277cf19eed0d2fabc6e9aae61c0f01,master,3,0,0,0,0,0,0,0,0,0,0,0,0,4569,4572,4572,4569,7183,7180,0,0,0,0,0,0,0,0,0,0,0,0,0,3273,3273,3273,3273,4773,4773,3,0,0,0,0,0,0,0,0,0,0,0,0,1296,1299,1299,1296,2410,2407
2017-03-27 22:53:27,square-retrofit,16b2a7f7a5cd43333a97ad4765c184888ad7ad0a,39fcdb46e07f2f14319a4031d86bf8f3dbd1d405,master,0,0,0,0,0,0,0,0,0,0,0,0,0,6344,6344,6344,6344,9292,9292,0,0,0,0,0,0,0,0,0,0,0,0,0,4737,4737,4737,4737,6451,6451,0,0,0,0,0,0,0,0,0,0,0,0,0,1607,1607,1607,1607,2841,2841
2016-03-07 02:32:06,square-retrofit,238a9e59e69d61479a4505dba5f5659a599c699f,403573ab56ccf8b364d666b01129391cdccaa011,master,0,0,0,0,0,0,0,0,0,0,0,0,0,4053,4053,4053,4053,6296,6296,0,0,0,0,0,0,0,0,0,0,0,0,0,2810,2810,2810,2810,4084,4084,0,0,0,0,0,0,0,0,0,0,0,0,0,1243,1243,1243,1243,2212,2212
2016-10-15 20:48:47,square-retrofit,112046880f099a0fb30a68a8e18063815d36d98d,d0571339b826a9fcbb7b310718073ce24c83f1fc,master,0,0,0,0,0,0,0,0,0,0,0,0,0,4331,4331,4331,4331,6910,6910,0,0,0,0,0,0,0,0,0,0,0,0,0,3094,3094,3094,3094,4564,4564,0,0,0,0,0,0,0,0,0,0,0,0,0,1237,1237,1237,1237,2346,2346
2016-04-15 00:18:53,square-retrofit,75a56d96b64e9544501cf674e4114446f509af81,29178bf378bc73acc2df78104303f504949fd56b,master,0,0,0,0,0,0,0,0,0,0,0,0,0,4195,4195,4195,4195,6653,6653,0,0,0,0,0,0,0,0,0,0,0,0,0,2920,2920,2920,2920,4303,4303,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,1275,1275,1275,2350,2350
