repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
ManageIQ/ui-components,924b17832ed7992aed241009a58fdcdd76ae3080,564f9dc663d0d1f6ed99bdfa433d1be0eb7113a9,master,1516359056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,1,0,6,2
ManageIQ/ui-components,564f9dc663d0d1f6ed99bdfa433d1be0eb7113a9,a0931800e4a0eacdff9fb8e8a71c120c4ee70a87,master,1516277694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ManageIQ/ui-components,a0931800e4a0eacdff9fb8e8a71c120c4ee70a87,84f276d9046ab9d41dfdeecad3cc628e6a60fd46,master,1516277450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,2,2
ManageIQ/ui-components,84f276d9046ab9d41dfdeecad3cc628e6a60fd46,edf22ce627a5f2634c55d8c34acc06b490a7ca3c,master,1516183393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,4,0
ManageIQ/ui-components,edf22ce627a5f2634c55d8c34acc06b490a7ca3c,8837849e950621c42c4b8a58e28c6530e2a4450d,master,1516028065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,5,0,12,5
ManageIQ/ui-components,8837849e950621c42c4b8a58e28c6530e2a4450d,22a72f6480da0a5ec023e205318c60a8d3a56b06,master,1515505131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ManageIQ/ui-components,22a72f6480da0a5ec023e205318c60a8d3a56b06,68920c9b7727dc7805a49a776b20d7c618817fe5,master,1515419178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,78
ManageIQ/ui-components,68920c9b7727dc7805a49a776b20d7c618817fe5,4788fc0fe9d5ba43c48068ba0720f23b890580b9,master,1515167613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,10,1,0,15,3
ManageIQ/ui-components,4788fc0fe9d5ba43c48068ba0720f23b890580b9,f9b16cfc3d929be5ac5c8fd11900b4f2d25e0fa7,master,1515084780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,48,1,0,51,1
ManageIQ/ui-components,f9b16cfc3d929be5ac5c8fd11900b4f2d25e0fa7,98c07ea426b714e3b96ddcdcbec7ad29b705e0d5,master,1514995538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,8,0,32,19
ManageIQ/ui-components,98c07ea426b714e3b96ddcdcbec7ad29b705e0d5,463ca864492e5384708ff1e0d509d0e971ae6ffc,master,1514022826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,12,2,3,15,5
ManageIQ/ui-components,463ca864492e5384708ff1e0d509d0e971ae6ffc,51dd2812304ecc8fce07d59d1824293bc76e8451,master,1513866229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,2
ManageIQ/ui-components,51dd2812304ecc8fce07d59d1824293bc76e8451,6c2ad431ca58e47824c49435f4f71303c608500f,master,1513691946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,2
ManageIQ/ui-components,6c2ad431ca58e47824c49435f4f71303c608500f,9d10d6d3ee908370637b63d5cfbc3847c3078089,master,1513691591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,74,1,1,1,95,3
ManageIQ/ui-components,9d10d6d3ee908370637b63d5cfbc3847c3078089,dbeb2f7892686b85a8344fc1955c17c34a219403,master,1513689209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,72,37,16,1,113,21
